"Year","Name","Location","Country","Elevation","Type","Volcano Explosivity Index (VEI)","DEATHS"
1896,"Kirishima","Kyushu-Japan","Japan",1700,"Shield volcano",2,1
1897,"Mayon","Luzon-Philippines","Philippines",2462,"Stratovolcano",3,350
1899,"Dona Juana","Colombia","Colombia",4150,"Stratovolcano",4,55
1899,"Manam","New Guinea-NE of","Papua New Guinea",1807,"Stratovolcano",2,2
1900,"Asama","Honshu-Japan","Japan",2560,"Complex volcano",2,25
1900,"Kirishima","Kyushu-Japan","Japan",1700,"Shield volcano",2,2
1900,"Adatara","Honshu-Japan","Japan",1718,"Stratovolcano",2,72
1900,"Tullu Moje","Africa-NE","Ethiopia",2349,"Pumice cone",,
1901,"Kelut","Java","Indonesia",1731,"Stratovolcano",3,
1901,"Epi","Vanuatu-SW Pacific","Vanuatu",833,"Stratovolcano",,
1902,"Pelee","W Indies","Martinique",1397,"Stratovolcano",,23
1902,"Soufriere St. Vincent","W Indies","St. Vincent & the Grenadines",1220,"Stratovolcano",4,1680
1902,"Pelee","W Indies","Martinique",1397,"Stratovolcano",4,28000
1902,"Pelee","W Indies","Martinique",1397,"Stratovolcano",,
1902,"Tori-shima","Izu Is-Japan","Japan",403,"Stratovolcano",3,125
1902,"Pelee","W Indies","Martinique",1397,"Stratovolcano",4,1000
1902,"Santa Maria","Guatemala","Guatemala",3772,"Stratovolcano",6,1500
1902,"Merapi","Java","Indonesia",2947,"Stratovolcano",2,16
1903,"Okataina","New Zealand","New Zealand",1111,"Lava dome",1,4
1904,"Karthala","Indian O-W","Comoros",2361,"Shield volcano",2,1
1905,"Vesuvius","Italy","Italy",1281,"Complex volcano",2,1
1905,"Savai'i","Samoa-SW Pacific","Samoa",1858,"Shield volcano",2,
1906,"Vesuvius","Italy","Italy",1281,"Complex volcano",3,350
1907,"Unnamed","Tonga-SW Pacific","Tonga",-500,"Submarine volcano",0,
1907,"Alayta","Africa-NE","Ethiopia",1501,"Shield volcano",2,
1907,"Lewotobi","Lesser Sunda Is","Indonesia",1703,"Stratovolcano",2,1
1907,"Savai'i","Samoa-SW Pacific","Samoa",1858,"Shield volcano",,
1909,"Cameroon, Mt.","Africa-W","Cameroon",4095,"Stratovolcano",2,
1909,"Semeru","Java","Indonesia",3676,"Stratovolcano",2,221
1910,"Usu","Hokkaido-Japan","Japan",731,"Stratovolcano",2,1
1911,"Taal","Luzon-Philippines","Philippines",400,"Stratovolcano",4,1335
1911,"Asama","Honshu-Japan","Japan",2560,"Complex volcano",2,1
1911,"Asama","Honshu-Japan","Japan",2560,"Complex volcano",2,
1911,"Piparo","Trinidad","Trinidad ",140,"Mud volcano",,
1911,"Semeru","Java","Indonesia",3676,"Stratovolcano",3,
1912,"Novarupta","Alaska Peninsula","United States",841,"Caldera",6,2
1912,"Nyamuragira","Africa-C","Congo, DRC",3058,"Shield volcano",3,20
1913,"Awu","Sangihe Is-Indonesia","Indonesia",1320,"Stratovolcano",2,
1913,"Semeru","Java","Indonesia",3676,"Stratovolcano",2,
1913,"Ambrym","Vanuatu-SW Pacific","Vanuatu",1334,"Pyroclastic shield",3,21
1914,"Sakura-jima","Kyushu-Japan","Japan",1117,"Stratovolcano",4,28
1914,"Pago","New Britain-SW Pac","Papua New Guinea",742,"Caldera",3,
1914,"White Island","New Zealand","New Zealand",321,"Stratovolcano",,11
1916,"Tungurahua","Ecuador","Ecuador",5023,"Stratovolcano",4,
1916,"Stromboli","Italy","Italy",926,"Stratovolcano",3,
1917,"Lengai, Ol Doinyo","Africa-E","Tanzania",2890,"Stratovolcano",3,
1917,"Okataina","New Zealand","New Zealand",1111,"Lava dome",1,2
1917,"San Salvador","El Salvador","El Salvador",1893,"Stratovolcano",3,325
1918,"Banua Wuhu","Sangihe Is-Indonesia","Indonesia",-5,"Submarine volcano",3,
1918,"Katla","Iceland-S","Iceland",1512,"Subglacial volcano",4,
1919,"Popocatepetl","Mexico","Mexico",5426,"Stratovolcano",1,
1919,"Banua Wuhu","Sangihe Is-Indonesia","Indonesia",-5,"Submarine volcano",,
1919,"Kelut","Java","Indonesia",1731,"Stratovolcano",4,5110
1919,"Stromboli","Italy","Italy",926,"Stratovolcano",3,4
1919,"Mauna Loa","Hawaiian Is","United States",4170,"Shield volcano",0,
1920,"Merapi","Java","Indonesia",2947,"Stratovolcano",3,33
1920,"Izalco","El Salvador","El Salvador",1950,"Stratovolcano",3,
1923,"Papandayan","Java","Indonesia",2665,"Stratovolcano",1,1
1923,"Kirishima","Kyushu-Japan","Japan",1700,"Shield volcano",2,1
1924,"Kilauea","Hawaiian Is","United States",1222,"Shield volcano",2,1
1926,"Tokachi","Hokkaido-Japan","Japan",2077,"Stratovolcano",3,146
1927,"Paluweh","Lesser Sunda Is","Indonesia",875,"Stratovolcano",,
1927,"Esjufjoll","Iceland-SE","Iceland",1760,"Stratovolcano",1,1
1928,"Santorini","Greece","Greece",329,"Shield volcano",2,48
1928,"Mayon","Luzon-Philippines","Philippines",2462,"Stratovolcano",3,
1928,"Krakatau","Indonesia","Indonesia",813,"Caldera",,
1928,"Dieng Volc Complex","Java","Indonesia",2565,"Complex volcano",2,40
1928,"Paluweh","Lesser Sunda Is","Indonesia",875,"Stratovolcano",3,98
1928,"Etna","Italy","Italy",3350,"Stratovolcano",1,5
1929,"Komaga-take","Hokkaido-Japan","Japan",1140,"Stratovolcano",4,2
1929,"Santa Maria","Guatemala","Guatemala",3772,"Stratovolcano",3,200
1930,"Krakatau","Indonesia","Indonesia",813,"Caldera",2,
1930,"Asama","Honshu-Japan","Japan",2560,"Complex volcano",3,6
1930,"Stromboli","Italy","Italy",926,"Stratovolcano",3,5
1930,"Merapi","Java","Indonesia",2947,"Stratovolcano",3,1369
1931,"Asama","Honshu-Japan","Japan",2560,"Complex volcano",3,3
1932,"Fuego","Guatemala","Guatemala",3763,"Stratovolcano",4,
1932,"Kusatsu-Shirane","Honshu-Japan","Japan",2176,"Stratovolcano",3,2
1933,"Kharimkotan","Kuril Is","Russia",1145,"Stratovolcano",3,
1933,"Kuchinoerabu-jima","Ryukyu Is","Japan",649,"Stratovolcano",4,8
1933,"Bulusan","Luzon-Philippines","Philippines",1565,"Stratovolcano",2,
1936,"Asama","Honshu-Japan","Japan",2560,"Complex volcano",3,2
1937,"Llaima","Chile-C","Chile",3125,"Stratovolcano",2,3
1937,"Rabaul","New Britain-SW Pac","Papua New Guinea",688,"Pyroclastic shield",4,507
1938,"Nyamuragira","Africa-C","Congo, DRC",3058,"Shield volcano",1,
1938,"Mayon","Luzon-Philippines","Philippines",2462,"Stratovolcano",2,
1939,"Tori-shima","Izu Is-Japan","Japan",403,"Stratovolcano",2,2
1939,"Dieng Volc Complex","Java","Indonesia",2565,"Complex volcano",1,10
1940,"Karangetang [Api Siau]","Sangihe Is-Indonesia","Indonesia",1784,"Stratovolcano",2,1
1940,"Miyake-jima","Izu Is-Japan","Japan",815,"Stratovolcano",2,11
1940,"Lengai, Ol Doinyo","Africa-E","Tanzania",2890,"Stratovolcano",2,
1941,"Asama","Honshu-Japan","Japan",2560,"Complex volcano",2,1
1941,"Semeru","Java","Indonesia",3676,"Stratovolcano",2,
1943,"Michoacan-Guanajuato","Mexico","Mexico",3860,"Cinder cone",4,3
1943,"Azul, Cerro","Galapagos","Ecuador",1690,"Shield volcano",3,1
1944,"Vesuvius","Italy","Italy",1281,"Complex volcano",2,27
1944,"Cleveland","Aleutian Is","United States",1730,"Stratovolcano",3,1
1944,"Usu","Hokkaido-Japan","Japan",731,"Stratovolcano",2,1
1944,"Stromboli","Italy","Italy",926,"Stratovolcano",2,
1944,"Dieng Volc Complex","Java","Indonesia",2565,"Complex volcano",2,117
1946,"Sakura-jima","Kyushu-Japan","Japan",1117,"Stratovolcano",2,1
1946,"Semeru","Java","Indonesia",3676,"Stratovolcano",2,6
1946,"Semeru","Java","Indonesia",3676,"Stratovolcano",2,
1947,"Mayon","Luzon-Philippines","Philippines",2462,"Stratovolcano",2,
1947,"Asama","Honshu-Japan","Japan",2560,"Complex volcano",2,11
1947,"Hekla","Iceland-S","Iceland",1491,"Stratovolcano",4,1
1948,"Iliwerung","Lesser Sunda Is","Indonesia",1018,"Complex volcano",2,
1948,"Hibok-Hibok","Mindanao-Philippines","Philippines",1332,"Stratovolcano",3,68
1948,"Villarrica","Chile-C","Chile",2847,"Stratovolcano",3,36
1949,"Purace","Colombia","Colombia",4650,"Stratovolcano",2,17
1950,"Semeru","Java","Indonesia",3676,"Stratovolcano",1,6
1950,"Asama","Honshu-Japan","Japan",2560,"Complex volcano",2,1
1951,"Lamington","New Guinea","Papua New Guinea",1680,"Stratovolcano",4,2942
1951,"Cosiguina","Nicaragua","Nicaragua",872,"Stratovolcano",,
1951,"Kelut","Java","Indonesia",1731,"Stratovolcano",3,7
1951,"Kavachi","Solomon Is-SW Pacifi","Solomon Is.",-20,"Submarine volcano",2,
1952,"Myojun Knoll","Izu Is-Japan","Japan",360,"Submarine volcano",2,
1952,"Myojun Knoll","Izu Is-Japan","Japan",360,"Submarine volcano",2,
1952,"Myojun Knoll","Izu Is-Japan","Japan",360,"Submarine volcano",2,31
1952,"Myojun Knoll","Izu Is-Japan","Japan",360,"Submarine volcano",2,
1952,"Ambalatungan Group","Luzon-Philippines","Philippines",2329,"Compound volcano",1,12
1953,"Myojun Knoll","Izu Is-Japan","Japan",360,"Submarine volcano",2,
1953,"Merapi","Java","Indonesia",2947,"Stratovolcano",3,64
1953,"Myojun Knoll","Izu Is-Japan","Japan",360,"Submarine volcano",2,
1953,"Aso","Kyushu-Japan","Japan",1592,"Caldera",2,6
1953,"St. Andrew Strait","Admiralty Is-SW Paci","Papua New Guinea",270,"Complex volcano",0,
1953,"Sirung","Lesser Sunda Is","Indonesia",862,"Complex volcano",0,5
1953,"Oshima","Izu Is-Japan","Japan",758,"Stratovolcano",1,1
1954,"Stromboli","Italy","Italy",926,"Stratovolcano",,
1954,"Bam","New Guinea-NE of","Papua New Guinea",685,"Stratovolcano",2,25
1954,"Hibok-Hibok","Mindanao-Philippines","Philippines",1332,"Stratovolcano",,2
1955,"Carran-Los Venados","Chile-C","Chile",1114,"Pyroclastic cone",4,2
1955,"Sakura-jima","Kyushu-Japan","Japan",1117,"Stratovolcano",3,
1956,"Bezymianny","Kamchatka","Russia",2882,"Stratovolcano",5,
1957,"Vsevidof","Aleutian Is","United States",2149,"Stratovolcano",2,
1957,"Merapi","Java","Indonesia",2947,"Stratovolcano",2,6
1957,"Oshima","Izu Is-Japan","Japan",758,"Stratovolcano",2,1
1957,"Aso","Kyushu-Japan","Japan",1592,"Caldera",2,12
1958,"Mahawu","Sulawesi-Indonesia","Indonesia",1324,"Stratovolcano",2,1
1958,"Kuwae","Vanuatu-SW Pacific","Vanuatu",-2,"Caldera",2,
1960,"Puyehue","Chile-C","Chile",2236,"Stratovolcano",3,
1961,"Asama","Honshu-Japan","Japan",2560,"Complex volcano",2,1
1962,"Tokachi","Hokkaido-Japan","Japan",2077,"Stratovolcano",3,5
1962,"Gamalama","Halmahera-Indonesia","Indonesia",1715,"Stratovolcano",2,5
1963,"Irazu","Costa Rica","Costa Rica",3432,"Stratovolcano",3,40
1963,"Agung","Lesser Sunda Is","Indonesia",3142,"Stratovolcano",4,1028
1963,"Semeru","Java","Indonesia",3676,"Stratovolcano",2,1
1963,"Agung","Lesser Sunda Is","Indonesia",3142,"Stratovolcano",3,120
1963,"Villarrica","Chile-C","Chile",2847,"Stratovolcano",2,
1963,"Batur","Lesser Sunda Is","Indonesia",1717,"Caldera",2,2
1963,"Fuego","Guatemala","Guatemala",3763,"Stratovolcano",3,7
1964,"Paluweh","Lesser Sunda Is","Indonesia",875,"Stratovolcano",2,1
1964,"Villarrica","Chile-C","Chile",2847,"Stratovolcano",2,22
1964,"Dieng Volc Complex","Java","Indonesia",2565,"Complex volcano",1,114
1965,"Taal","Luzon-Philippines","Philippines",400,"Stratovolcano",4,355
1966,"Tinakula","Santa Cruz Is-SW Pac","Solomon Is.",851,"Stratovolcano",3,
1966,"Kelut","Java","Indonesia",1731,"Stratovolcano",4,215
1966,"Awu","Sangihe Is-Indonesia","Indonesia",1320,"Stratovolcano",4,39
1966,"Lengai, Ol Doinyo","Africa-E","Tanzania",2890,"Stratovolcano",4,
1967,"Merapi","Java","Indonesia",2947,"Stratovolcano",3,3
1967,"Lengai, Ol Doinyo","Africa-E","Tanzania",2890,"Stratovolcano",3,
1967,"Semeru","Java","Indonesia",3676,"Stratovolcano",3,3
1967,"Deception Island","Antarctica","Antarctica",576,"Caldera",3,
1968,"Semeru","Java","Indonesia",3676,"Stratovolcano",2,372
1968,"Mayon","Luzon-Philippines","Philippines",2462,"Stratovolcano",3,6
1968,"Arenal","Costa Rica","Costa Rica",1657,"Stratovolcano",3,80
1969,"Iya","Lesser Sunda Is","Indonesia",637,"Stratovolcano",3,2
1969,"Didicas","Luzon-N of","Philippines",244,"Compound volcano",2,
1970,"Hekla","Iceland-S","Iceland",1491,"Stratovolcano",3,
1971,"Hudson, Cerro","Chile-S","Chile",1905,"Stratovolcano",3,3
1971,"Tinakula","Santa Cruz Is-SW Pac","Solomon Is.",851,"Stratovolcano",2,
1971,"Fuego","Guatemala","Guatemala",3763,"Stratovolcano",3,10
1971,"La Palma","Canary Is","Spain",2426,"Stratovolcano",2,
1971,"Villarrica","Chile-C","Chile",2847,"Stratovolcano",2,15
1972,"Fournaise, Piton de la","Indian O-W","Reunion",2631,"Shield volcano",2,3
1972,"Ritter Island","New Guinea-NE of","Papua New Guinea",140,"Stratovolcano",1,
1973,"Vestmannaeyjar","Iceland-S","Iceland",279,"Submarine volcano",3,1
1973,"Paluweh","Lesser Sunda Is","Indonesia",875,"Stratovolcano",3,
1973,"Semeru","Java","Indonesia",3676,"Stratovolcano",2,12
1973,"Iliwerung","Lesser Sunda Is","Indonesia",1018,"Complex volcano",2,2
1974,"Karangetang [Api Siau]","Sangihe Is-Indonesia","Indonesia",1784,"Stratovolcano",3,4
1974,"Sakura-jima","Kyushu-Japan","Japan",1117,"Stratovolcano",3,3
1974,"Niigata-Yake-yama","Honshu-Japan","Japan",2400,"Lava dome",2,3
1974,"Sakura-jima","Kyushu-Japan","Japan",1117,"Stratovolcano",3,5
1974,"Fuego","Guatemala","Guatemala",3763,"Stratovolcano",4,
1974,"Ritter Island","New Guinea-NE of","Papua New Guinea",140,"Stratovolcano",1,
1975,"Marapi","Sumatra","Indonesia",2891,"Complex volcano",2,80
1975,"Arenal","Costa Rica","Costa Rica",1657,"Stratovolcano",3,2
1975,"Kilauea","Hawaiian Is","United States",1222,"Shield volcano",0,
1976,"Sangay","Ecuador","Ecuador",5230,"Stratovolcano",3,2
1976,"Semeru","Java","Indonesia",3676,"Stratovolcano",2,119
1976,"Karangetang [Api Siau]","Sangihe Is-Indonesia","Indonesia",1784,"Stratovolcano",2,1
1977,"Nyiragongo","Africa-C","Congo, DRC",3470,"Stratovolcano",1,
1977,"Karthala","Indian O-W","Comoros",2361,"Shield volcano",0,
1977,"Krafla","Iceland-NE","Iceland",650,"Caldera",1,
1977,"Kliuchevskoi","Kamchatka","Russia",4835,"Stratovolcano",3,1
1978,"Usu","Hokkaido-Japan","Japan",731,"Stratovolcano",3,3
1978,"Bulusan","Luzon-Philippines","Philippines",1565,"Stratovolcano",2,
1978,"Santa Maria","Guatemala","Guatemala",3772,"Stratovolcano",3,1
1979,"Dieng Volc Complex","Java","Indonesia",2565,"Complex volcano",1,149
1979,"Karkar","New Guinea-NE of","Papua New Guinea",1839,"Stratovolcano",2,2
1979,"Etna","Italy","Italy",3350,"Stratovolcano",2,9
1979,"Aso","Kyushu-Japan","Japan",1592,"Caldera",2,3
1980,"St. Helens","US-Washington","United States",2549,"Stratovolcano",5,57
1980,"Hekla","Iceland-S","Iceland",1491,"Stratovolcano",3,
1981,"Etna","Italy","Italy",3350,"Stratovolcano",2,
1981,"Alaid","Kuril Is","Russia",2339,"Stratovolcano",2,
1981,"Mayon","Luzon-Philippines","Philippines",2462,"Stratovolcano",,200
1981,"Paluweh","Lesser Sunda Is","Indonesia",875,"Stratovolcano",2,
1982,"Chichon, El","Mexico","Mexico",1150,"Tuff cone",5,1879
1982,"Chichon, El","Mexico","Mexico",1150,"Tuff cone",5,33
1982,"Galunggung","Java","Indonesia",2168,"Stratovolcano",4,68
1982,"Chichon, El","Mexico","Mexico",1150,"Tuff cone",5,1
1983,"Kliuchevskoi","Kamchatka","Russia",4835,"Stratovolcano",2,1
1983,"Colo [Una Una]","Sulawesi-Indonesia","Indonesia",507,"Stratovolcano",4,
1983,"Iliwerung","Lesser Sunda Is","Indonesia",1018,"Complex volcano",1,
1983,"Miyake-jima","Izu Is-Japan","Japan",815,"Stratovolcano",3,
1984,"San Joaquin","Africa-W","Equatorial Guinea",2009,"Shield volcano",,37
1984,"Mayon","Luzon-Philippines","Philippines",2462,"Stratovolcano",3,1
1985,"Ruiz","Colombia","Colombia",5321,"Stratovolcano",3,23080
1986,"Stromboli","Italy","Italy",926,"Stratovolcano",2,1
1986,"Oku Volc Field","Africa-W","Cameroon",3011,"Maar",3,1700
1986,"Merapi","Java","Indonesia",2947,"Stratovolcano",2,1
1986,"Oshima","Izu Is-Japan","Japan",758,"Stratovolcano",3,1
1987,"Pacaya","Guatemala","Guatemala",2552,"Complex volcano",3,
1987,"Etna","Italy","Italy",3350,"Stratovolcano",2,2
1987,"Sirung","Lesser Sunda Is","Indonesia",862,"Complex volcano",,
1988,"Banda Api","Banda Sea","Pacific Ocean",640,"Caldera",3,4
1988,"Arenal","Costa Rica","Costa Rica",1657,"Stratovolcano",3,1
1988,"Lonquimay","Chile-C","Chile",2865,"Stratovolcano",3,1
1990,"Shiveluch","Kamchatka","Russia",3283,"Stratovolcano",3,
1990,"Kelut","Java","Indonesia",1731,"Stratovolcano",4,32
1990,"Sabancaya","Peru","Peru",5967,"Stratovolcano",3,
1990,"Santa Maria","Guatemala","Guatemala",3772,"Stratovolcano",3,4
1990,"Unzen","Kyushu-Japan","Japan",1500,"Complex volcano",1,43
1991,"Pinatubo","Luzon-Philippines","Philippines",1486,"Stratovolcano",6,450
1991,"Karthala","Indian O-W","Comoros",2361,"Shield volcano",2,
1991,"Hudson, Cerro","Chile-S","Chile",1905,"Stratovolcano",5,
1991,"Lokon-Empung","Sulawesi-Indonesia","Indonesia",1580,"Stratovolcano",1,1
1991,"Etna","Italy","Italy",3350,"Stratovolcano",2,
1992,"Negro, Cerro","Nicaragua","Nicaragua",728,"Cinder cone",3,2
1992,"Karangetang [Api Siau]","Sangihe Is-Indonesia","Indonesia",1784,"Stratovolcano",1,6
1992,"Pinatubo","Luzon-Philippines","Philippines",1486,"Stratovolcano",1,6
1992,"Spurr","Alaska-SW","United States",3374,"Stratovolcano",3,
1993,"Galeras","Colombia","Colombia",4276,"Complex volcano",2,9
1993,"Mayon","Luzon-Philippines","Philippines",2462,"Stratovolcano",2,75
1993,"Kilauea","Hawaiian Is","United States",1222,"Shield volcano",0,1
1993,"Krakatau","Indonesia","Indonesia",813,"Caldera",1,1
1993,"Unzen","Kyushu-Japan","Japan",1500,"Complex volcano",1,1
1994,"Yasur","Vanuatu-SW Pacific","Vanuatu",361,"Stratovolcano",3,3
1994,"Marapi","Sumatra","Indonesia",2891,"Complex volcano",2,1
1994,"Rabaul","New Britain-SW Pac","Papua New Guinea",688,"Pyroclastic shield",3,4
1994,"Merapi","Java","Indonesia",2947,"Stratovolcano",3,60
1995,"Fogo","Cape Verde Is","Cape Verde",2829,"Stratovolcano",2,
1996,"Karymsky","Kamchatka","Russia",1536,"Stratovolcano",2,
1996,"Popocatepetl","Mexico","Mexico",5426,"Stratovolcano",3,5
1996,"Semeru","Java","Indonesia",3676,"Stratovolcano",2,1
1996,"Grimsvotn","Iceland-NE","Iceland",1725,"Caldera",3,
1997,"Karangetang [Api Siau]","Sangihe Is-Indonesia","Indonesia",1784,"Stratovolcano",1,3
1997,"Soufriere Hills","W Indies","Montserrat",915,"Stratovolcano",3,22
1997,"Soufriere Hills","W Indies","Montserrat",915,"Stratovolcano",3,2
1997,"Soufriere Hills","W Indies","Montserrat",915,"Stratovolcano",,
1998,"Kilauea","Hawaiian Is","United States",1222,"Shield volcano",,1
1999,"Soufriere Hills","W Indies","Montserrat",915,"Stratovolcano",3,
1999,"Fuego","Guatemala","Guatemala",3763,"Stratovolcano",2,
1999,"Shiveluch","Kamchatka","Russia",3283,"Stratovolcano",4,
2000,"Miyake-jima","Izu Is-Japan","Japan",815,"Stratovolcano",2,
2000,"Kilauea","Hawaiian Is","United States",1222,"Shield volcano",,2
2001,"Etna","Italy","Italy",3350,"Stratovolcano",3,1
2001,"Etna","Italy","Italy",3350,"Stratovolcano",2,
2002,"Karangetang [Api Siau]","Sangihe Is-Indonesia","Indonesia",1784,"Stratovolcano",3,
2002,"Nyiragongo","Africa-C","Congo, DRC",3470,"Stratovolcano",1,100
2002,"Etna","Italy","Italy",3350,"Stratovolcano",3,
2002,"Stromboli","Italy","Italy",926,"Stratovolcano",,
2003,"Soufriere Hills","W Indies","Montserrat",915,"Stratovolcano",3,
2004,"Tengger Caldera","Java","Indonesia",2329,"Stratovolcano",2,2
2005,"Karthala","Indian O-W","Comoros",2361,"Shield volcano",,
2006,"Raoul Island","Kermadec Is","New Zealand",516,"Stratovolcano",,1
2006,"Soufriere Hills","W Indies","Montserrat",915,"Stratovolcano",2,
2006,"Bulusan","Luzon-Philippines","Philippines",1565,"Stratovolcano",2,1
2006,"Merapi","Java","Indonesia",2947,"Stratovolcano",1,2
2006,"Mayon","Luzon-Philippines","Philippines",2462,"Stratovolcano",1,1266
2006,"Tungurahua","Ecuador","Ecuador",5023,"Stratovolcano",3,1
2006,"Tungurahua","Ecuador","Ecuador",5023,"Stratovolcano",3,5
2007,"Huila","Colombia","Colombia",5365,"Stratovolcano",,
2007,"Tair, Jebel at","Red Sea","Yemen",244,"Stratovolcano",,7
2008,"Chaiten","Chile-S","Chile",962,"Caldera",,1
2008,"Kasatochi","Aleutian Is","United States",314,"Stratovolcano",3,
2008,"Tungurahua","Ecuador","Ecuador",5023,"Stratovolcano",3,2
2008,"Huila","Colombia","Colombia",5365,"Stratovolcano",,10
2009,"Redoubt","Alaska-SW","United States",3108,"Stratovolcano",,
2009,"Kilauea","Hawaiian Is","United States",1222,"Shield volcano",,
2010,"Tungurahua","Ecuador","Ecuador",5023,"Stratovolcano",3,
2010,"Eyjafjallajokull","Iceland-S","Iceland",1666,"Stratovolcano",2,2
2010,"Pacaya","Guatemala","Guatemala",2552,"Complex volcano",1,1
2010,"Sarigan","Mariana Is-C Pacific","United States",538,"Stratovolcano",,
2010,"Karangetang [Api Siau]","Sangihe Is-Indonesia","Indonesia",1784,"Stratovolcano",3,4
2010,"Sinabung","Sumatra","Indonesia",2460,"Stratovolcano",,2
2010,"Merapi","Java","Indonesia",2947,"Stratovolcano",,324
2010,"Tungurahua","Ecuador","Ecuador",5023,"Stratovolcano",3,
2010,"Tengger Caldera","Java","Indonesia",2329,"Stratovolcano",,
2011,"Merapi","Java","Indonesia",2947,"Stratovolcano",,1
2011,"Kirishima","Kyushu-Japan","Japan",1700,"Shield volcano",,
2011,"Bulusan","Luzon-Philippines","Philippines",1565,"Stratovolcano",2,1
2011,"Karangetang [Api Siau]","Sangihe Is-Indonesia","Indonesia",1784,"Stratovolcano",,
2011,"Tungurahua","Ecuador","Ecuador",5023,"Stratovolcano",4,
2011,"Puyehue","Chile-C","Chile",2236,"Stratovolcano",4,
2011,"Nabro","Africa-NE","Eritrea",2218,"Stratovolcano",3,7
2011,"Katla","Iceland-S","Iceland",1512,"Subglacial volcano",,
2011,"Lokon-Empung","Sulawesi-Indonesia","Indonesia",1580,"Stratovolcano",,1
2011,"Gamalama","Halmahera-Indonesia","Indonesia",1715,"Stratovolcano",3,4
2012,"Kilauea","Hawaiian Is","United States",1222,"Shield volcano",,
2012,"Kilauea","Hawaiian Is","United States",1222,"Shield volcano",,
2012,"Tolbachik","Kamchatka","Russia",3682,"Shield volcano",,
2013,"Merapi","Java","Indonesia",2947,"Stratovolcano",,1
2013,"Paluweh","Lesser Sunda Is","Indonesia",875,"Stratovolcano",,
2013,"Mayon","Luzon-Philippines","Philippines",2462,"Stratovolcano",,5
2013,"Paluweh","Lesser Sunda Is","Indonesia",875,"Stratovolcano",3,5
2013,"Ubinas","Peru","Peru",5672,"Stratovolcano",,
2013,"Sakura-jima","Kyushu-Japan","Japan",1117,"Stratovolcano",,
2013,"Sinabung","Sumatra","Indonesia",2460,"Stratovolcano",2,
2014,"Sinabung","Sumatra","Indonesia",2460,"Stratovolcano",,17
2014,"Kelut","Java","Indonesia",1731,"Stratovolcano",,7
2014,"On-take","Honshu-Japan","Japan",3063,"Complex volcano",3,55
2014,"Kilauea","Hawaiian Is","United States",1222,"Shield volcano",,
2014,"Fogo","Cape Verde Is","Cape Verde",2829,"Stratovolcano",,
